[13:48.000 --> 14:05.300]  Great. How's everything? How's studies going on? I think the recent topic has been more
[02:00:50.260 --> 02:00:52.260]  Pardon?
[02:00:52.260 --> 02:00:57.260]  You're in HL section A or B. Yes section B.
[02:00:57.260 --> 02:01:01.260]  So I think Martin you will share with them the link.
[02:01:01.260 --> 02:01:13.260]  Yeah I'll go in today later on and check who has completed that okay and then update.
[02:01:13.260 --> 02:01:20.260]  Okay well the dates don't much I think the dates are using previous dates I think it isn't 26 or something.
[02:01:20.260 --> 02:01:25.260]  It's not using future dates it isn't previous dates.
[02:01:25.260 --> 02:01:33.260]  So the latest link that you send for Monday on the 6th that uses the previous week states.
[02:01:33.260 --> 02:01:37.260]  So I am unable to reserve your 1 p.m. 2 p.m. 3 p.m.
[02:01:37.260 --> 02:01:41.260]  Because it uses the Tuesday and Wednesday of last week.
[02:01:41.260 --> 02:01:45.260]  Oh really Martin maybe you can just update the dates and they can use the same form.
[02:01:45.260 --> 02:01:53.260]  Yeah let me so let me create new forms and send them right away okay.
[02:01:53.260 --> 02:01:59.260]  I think Martin same form will work you just change the dates otherwise they will get confused with many forms.
[02:01:59.260 --> 02:02:04.260]  I mean within the same form you can just change the dates they can access.
[02:02:04.260 --> 02:02:06.260]  Oh I see I see I see I see.
[02:02:06.260 --> 02:02:09.260]  Okay same update the forms today.
[02:02:09.260 --> 02:02:15.260]  As soon as we end here I'll update those forms okay everybody.
[02:02:15.260 --> 02:02:20.260]  And for HL section 1 who are with me I've shared the form with you for tomorrow's meeting.
[02:02:20.260 --> 02:02:24.260]  If you're free no not tomorrow I think Monday for Monday.
[02:02:24.260 --> 02:02:29.260]  So if you're free and Monday please attend otherwise I will share one more set of climates.
[02:02:29.260 --> 02:02:39.260]  But make sure that you complete the meeting with me as soon as possible.
[02:02:39.260 --> 02:02:42.260]  Wait is that HL meeting?
[02:02:42.260 --> 02:02:45.260]  Yeah for HL section 8.
[02:02:45.260 --> 02:02:51.260]  I will send I will I will I will share the details on the email with section 8.
[02:02:51.260 --> 02:02:54.260]  Okay.
[02:02:54.260 --> 02:03:03.260]  Okay.
[02:03:03.260 --> 02:03:07.260]  Martin shall we meet on teams for a little while after this?
[02:03:07.260 --> 02:03:10.260]  Yeah yeah let's let's do that.
[02:03:10.260 --> 02:03:14.260]  Okay guys see you again next week take care everyone.
[02:03:14.260 --> 02:03:16.260]  Thank you.
[02:03:16.260 --> 02:03:18.260]  Thank you.
