[05:00.000 --> 05:29.960]  How's everything, guys?
[01:41:20.960 --> 01:41:23.960]  what will be the simplified Boolean expression?
[01:41:23.960 --> 01:41:24.960]  Or is there a...
[01:41:24.960 --> 01:41:31.960]  First, let's talk about what will be the full expression for this K map?
[01:41:31.960 --> 01:41:33.960]  Not A and not B.
[01:41:33.960 --> 01:41:35.960]  Not A and not B plus.
[01:41:35.960 --> 01:41:37.960]  A and B.
[01:41:37.960 --> 01:41:38.960]  A and B.
[01:41:38.960 --> 01:41:45.960]  So the original expression as per this K map is A bar dot B bar plus A dot B.
[01:41:45.960 --> 01:41:47.960]  Why? Because this is one,
[01:41:47.960 --> 01:41:49.960]  which corresponds to A0 B0,
[01:41:49.960 --> 01:41:52.960]  which is A bar dot B bar.
[01:41:52.960 --> 01:41:55.960]  And this one, where A is one and B is one,
[01:41:55.960 --> 01:41:57.960]  so that means A dot B.
[01:41:57.960 --> 01:41:59.960]  So A bar plus B bar,
[01:41:59.960 --> 01:42:02.960]  sorry A dot A bar dot B bar plus A dot B.
[01:42:02.960 --> 01:42:04.960]  That's the full expression.
[01:42:04.960 --> 01:42:09.960]  Is there any possibility of pairing here?
[01:42:09.960 --> 01:42:10.960]  No.
[01:42:10.960 --> 01:42:13.960]  Do we have any possibility of pairing now?
[01:42:13.960 --> 01:42:15.960]  So if there is no possibility of pairing,
[01:42:15.960 --> 01:42:17.960]  then whatever is the original expression,
[01:42:17.960 --> 01:42:18.960]  that cannot be...
[01:42:18.960 --> 01:42:20.960]  And not make the group of two.
[01:42:20.960 --> 01:42:24.960]  Because these two cells are not adjacent to each other.
[01:42:24.960 --> 01:42:25.960]  So in this case,
[01:42:25.960 --> 01:42:28.960]  just consider these two ones alone.
[01:42:28.960 --> 01:42:31.960]  So the first cell represents A bar dot B bar
[01:42:31.960 --> 01:42:34.960]  while this last cell represents A dot B.
[01:42:34.960 --> 01:42:36.960]  That means in this case,
[01:42:36.960 --> 01:42:39.960]  further we cannot minimize the function.
[01:42:39.960 --> 01:42:43.960]  And the output is equal to A bar dot B bar plus A B.
[01:42:43.960 --> 01:42:46.960]  Similarly, in this case also,
[01:42:46.960 --> 01:42:49.960]  these two ones are not adjacent to each other.
[01:42:49.960 --> 01:42:50.960]  And therefore,
[01:42:50.960 --> 01:42:53.960]  because irrespective of the change in the variable A and B,
[01:42:53.960 --> 01:42:55.960]  the output remains one.
[01:42:55.960 --> 01:42:59.960]  So that is how we can minimize any two variable Boolean function
[01:42:59.960 --> 01:43:01.960]  using the K map.
[01:43:01.960 --> 01:43:02.960]  Similarly,
[01:43:02.960 --> 01:43:06.960]  now let us see how to minimize the three variable Boolean expression
[01:43:06.960 --> 01:43:08.960]  using the K map once in those cells,
[01:43:08.960 --> 01:43:13.960]  which represents these main terms, M0, M1 and M5.
[01:43:13.960 --> 01:43:14.960]  So in a three variable K map,
[01:43:14.960 --> 01:43:18.960]  as you can see that the combination is now 0, 0, 0, 0, 1, 1, 1, 1, 0.
[01:43:18.960 --> 01:43:20.960]  This always has to be like this
[01:43:20.960 --> 01:43:22.960]  because of the simple reason that only one bit can change
[01:43:22.960 --> 01:43:24.960]  between two adjacent cells.
[01:43:24.960 --> 01:43:27.960]  And this is the only possible way of doing that.
[01:43:27.960 --> 01:43:30.960]  This does not even just apply to the adjacent cells,
[01:43:30.960 --> 01:43:31.960]  which you can see here,
[01:43:31.960 --> 01:43:33.960]  but it also applies to the adjacent cells,
[01:43:33.960 --> 01:43:35.960]  for example, 2 and 0.
[01:43:35.960 --> 01:43:37.960]  So if you look at 0, 0 and 1, 0,
[01:43:37.960 --> 01:43:39.960]  there is only one bit which is changing.
[01:43:39.960 --> 01:43:41.960]  So therefore, in a three variable K map,
[01:43:41.960 --> 01:43:43.960]  make sure that you take the combinations like this.
[01:43:43.960 --> 01:43:45.960]  If you swap these two,
[01:43:45.960 --> 01:43:47.960]  then there is no way that you can make correct pairing,
[01:43:47.960 --> 01:43:51.960]  and ultimately you will not be able to simplify the expression.
[01:43:51.960 --> 01:43:53.960]  Now they have given sigma 0, 1, 5.
[01:43:53.960 --> 01:43:55.960]  Can you tell me what will be the expression,
[01:43:55.960 --> 01:43:57.960]  actual expression for this?
[01:43:57.960 --> 01:43:59.960]  The first one, A bar.
[01:43:59.960 --> 01:44:02.960]  A bar, B bar, C bar.
[01:44:02.960 --> 01:44:04.960]  A bar, B bar, C bar.
[01:44:04.960 --> 01:44:05.960]  What about this one?
[01:44:05.960 --> 01:44:07.960]  A bar, B bar, C.
[01:44:07.960 --> 01:44:09.960]  A bar, B bar, C. And this one.
[01:44:09.960 --> 01:44:11.960]  A, B, C.
[01:44:11.960 --> 01:44:13.960]  A bar, C.
[01:44:13.960 --> 01:44:14.960]  Correct.
[01:44:14.960 --> 01:44:16.960]  So if you actually convert this into a Boolean expression,
[01:44:16.960 --> 01:44:18.960]  or if the Boolean expression is given to you,
[01:44:18.960 --> 01:44:22.960]  which is A bar dot B bar,
[01:44:22.960 --> 01:44:25.960]  A bar dot B bar dot C bar,
[01:44:25.960 --> 01:44:29.960]  plus A bar dot B bar dot C,
[01:44:29.960 --> 01:44:33.960]  plus A dot B bar dot C,
[01:44:33.960 --> 01:44:38.960]  then you can plot your wants into respective cells according to that.
[01:44:38.960 --> 01:44:40.960]  So most likely you will be given the Boolean expression,
[01:44:40.960 --> 01:44:44.960]  and so first step will be to plot the wants and zeros
[01:44:44.960 --> 01:44:45.960]  according to the given value.
[01:44:45.960 --> 01:44:46.960]  Zero is not needed,
[01:44:46.960 --> 01:44:48.960]  but at least plot the wants.
[01:44:48.960 --> 01:44:49.960]  Once you have done the correct plot,
[01:44:49.960 --> 01:44:52.960]  if you do some mistake in plotting wants,
[01:44:52.960 --> 01:44:54.960]  obviously your answer will be wrong.
[01:44:54.960 --> 01:44:56.960]  So you should be little careful when you're converting,
[01:44:56.960 --> 01:44:59.960]  either this into a came up,
[01:44:59.960 --> 01:45:01.960]  or the Boolean expression into the came up,
[01:45:01.960 --> 01:45:03.960]  make sure that you do that correctly.
[01:45:03.960 --> 01:45:05.960]  The first step itself should be right,
[01:45:05.960 --> 01:45:07.960]  so that your steps should also be right.
[01:45:07.960 --> 01:45:08.960]  And now,
[01:45:08.960 --> 01:45:09.960]  let us try.
[01:45:09.960 --> 01:45:10.960]  Yeah.
[01:45:10.960 --> 01:45:12.960]  Will you get the partial marks
[01:45:12.960 --> 01:45:14.960]  for utilizing the came up correctly?
[01:45:14.960 --> 01:45:15.960]  You will.
[01:45:15.960 --> 01:45:16.960]  You will.
[01:45:16.960 --> 01:45:17.960]  Yeah.
[01:45:17.960 --> 01:45:19.960]  So the distribution of marks,
[01:45:19.960 --> 01:45:20.960]  let's say it is four mark,
[01:45:20.960 --> 01:45:21.960]  came up.
[01:45:21.960 --> 01:45:24.960]  So the distribution of marks will be something like
[01:45:24.960 --> 01:45:27.960]  that you have taken correct combinations of zeros and wants
[01:45:27.960 --> 01:45:30.960]  to the top and bottom to the top and left.
[01:45:30.960 --> 01:45:34.960]  That will be one mark correct identification of the cells,
[01:45:34.960 --> 01:45:37.960]  which whose value is one that will be one mark.
[01:45:37.960 --> 01:45:39.960]  But after that you will lose the marks,
[01:45:39.960 --> 01:45:42.960]  because obviously the pairing will be wrong.
[01:45:42.960 --> 01:45:44.960]  I to minimize this function.
[01:45:44.960 --> 01:45:46.960]  So as I have discussed earlier,
[01:45:46.960 --> 01:45:48.960]  to minimize this function,
[01:45:48.960 --> 01:45:50.960]  we need to make the group of ones,
[01:45:50.960 --> 01:45:52.960]  which are adjacent to each other.
[01:45:52.960 --> 01:45:55.960]  And the group should be in the power of two.
[01:45:55.960 --> 01:45:56.960]  So in this case,
[01:45:56.960 --> 01:45:58.960]  this is the first group.
[01:45:58.960 --> 01:46:00.960]  And by comparing these two ones,
[01:46:00.960 --> 01:46:02.960]  we will get the second group.
[01:46:02.960 --> 01:46:03.960]  And with these two groups,
[01:46:03.960 --> 01:46:06.960]  all the ones in the map gets covered.
[01:46:06.960 --> 01:46:07.960]  So first of all,
[01:46:07.960 --> 01:46:09.960]  let us consider this group.
[01:46:09.960 --> 01:46:10.960]  Okay.
[01:46:10.960 --> 01:46:11.960]  Now from this group,
[01:46:11.960 --> 01:46:13.960]  what are the values which are staying intact?
[01:46:13.960 --> 01:46:14.960]  So obviously,
[01:46:14.960 --> 01:46:16.960]  A is staying intact because
[01:46:16.960 --> 01:46:18.960]  A is the row value.
[01:46:18.960 --> 01:46:22.960]  What is the other value which is staying intact?
[01:46:22.960 --> 01:46:23.960]  Peak.
[01:46:23.960 --> 01:46:25.960]  When we look at 0 0 and 0 1,
[01:46:25.960 --> 01:46:27.960]  what is intact and what is changing?
[01:46:27.960 --> 01:46:28.960]  B is intact.
[01:46:28.960 --> 01:46:29.960]  A is intact.
[01:46:29.960 --> 01:46:30.960]  B is intact.
[01:46:30.960 --> 01:46:31.960]  A is intact.
[01:46:31.960 --> 01:46:33.960]  And B is intact and C is changing.
[01:46:33.960 --> 01:46:36.960]  So that means we can disregard C from this.
[01:46:36.960 --> 01:46:40.960]  So we are only left with A dot B for this pair.
[01:46:40.960 --> 01:46:41.960]  So in this group,
[01:46:41.960 --> 01:46:42.960]  if you see,
[01:46:42.960 --> 01:46:44.960]  then this variable C is changing,
[01:46:44.960 --> 01:46:47.960]  while the variable A and B are fixed.
[01:46:47.960 --> 01:46:48.960]  Therefore,
[01:46:48.960 --> 01:46:49.960]  for this particular group,
[01:46:49.960 --> 01:46:52.960]  we will consider this variable A and B.
[01:46:52.960 --> 01:46:55.960]  And we will ignore the variable C.
[01:46:55.960 --> 01:46:56.960]  Moreover,
[01:46:56.960 --> 01:46:58.960]  since the value of A and B is 0,
[01:46:58.960 --> 01:47:03.960]  that means this group represents A bar dot B bar.
[01:47:03.960 --> 01:47:05.960]  A bar dot B bar because A is 0,
[01:47:05.960 --> 01:47:06.960]  which is intact and B is 0,
[01:47:06.960 --> 01:47:07.960]  which is intact.
[01:47:07.960 --> 01:47:09.960]  So that's the A bar dot.
[01:47:09.960 --> 01:47:10.960]  Let us see the second group.
[01:47:10.960 --> 01:47:11.960]  Okay.
[01:47:11.960 --> 01:47:13.960]  What is changing here?
[01:47:13.960 --> 01:47:14.960]  If you look at A,
[01:47:14.960 --> 01:47:15.960]  is that changing?
[01:47:15.960 --> 01:47:16.960]  Yes.
[01:47:16.960 --> 01:47:17.960]  A changing.
[01:47:17.960 --> 01:47:18.960]  Okay.
[01:47:18.960 --> 01:47:21.960]  And what is staying intact?
[01:47:21.960 --> 01:47:23.960]  B and C.
[01:47:23.960 --> 01:47:24.960]  B and C.
[01:47:24.960 --> 01:47:28.960]  So B is 0 and C is 1 for both these,
[01:47:28.960 --> 01:47:31.960]  both the cells of the given K map.
[01:47:31.960 --> 01:47:33.960]  So that means 0 and 1 is intact.
[01:47:33.960 --> 01:47:35.960]  And this A is 0 1 is changing.
[01:47:35.960 --> 01:47:37.960]  So what will be the expression for this?
[01:47:37.960 --> 01:47:41.960]  So in this group,
[01:47:41.960 --> 01:47:42.960]  if you,
[01:47:42.960 --> 01:47:44.960]  what will be the expression?
[01:47:44.960 --> 01:47:46.960]  A is removed.
[01:47:46.960 --> 01:47:48.960]  So we are left with B bar dot C.
[01:47:48.960 --> 01:47:55.960]  So the second part of the Boolean expression will be B bar dot C.
[01:47:55.960 --> 01:47:58.960]  And the variable A is changing,
[01:47:58.960 --> 01:48:01.960]  while the variable B and C are same.
[01:48:01.960 --> 01:48:02.960]  So here,
[01:48:02.960 --> 01:48:03.960]  the B is 0,
[01:48:03.960 --> 01:48:05.960]  while C is 1.
[01:48:05.960 --> 01:48:09.960]  Therefore, this group represents D bar dot C.
[01:48:09.960 --> 01:48:12.960]  And if you see the overall function variables,
[01:48:12.960 --> 01:48:14.960]  and it consists of C.
[01:48:14.960 --> 01:48:18.960]  So this is the expression for 015
[01:48:18.960 --> 01:48:28.960]  or A bar B bar C bar plus A bar B bar C plus A B bar C.
[01:48:28.960 --> 01:48:30.960]  If that was the whole expression,
[01:48:30.960 --> 01:48:32.960]  then the reduced Boolean expression is this.
[01:48:32.960 --> 01:48:35.960]  Now, it's much more convenient to do it this way,
[01:48:35.960 --> 01:48:38.960]  rather than using the laws of Boolean algebra,
[01:48:38.960 --> 01:48:40.960]  because in laws of Boolean algebra,
[01:48:40.960 --> 01:48:42.960]  you need to remember each and every law.
[01:48:42.960 --> 01:48:45.960]  And sometimes we don't get to know
[01:48:45.960 --> 01:48:47.960]  as to how should we proceed from a certain point.
[01:48:47.960 --> 01:48:49.960]  It sometimes becomes difficult.
[01:48:49.960 --> 01:48:51.960]  But here it is very straightforward.
[01:48:51.960 --> 01:48:55.960]  You just have to consider the combinations which are saying intact
[01:48:55.960 --> 01:48:57.960]  and disregard the ones which are changing.
[01:48:57.960 --> 01:48:58.960]  And by doing so,
[01:48:58.960 --> 01:49:00.960]  you will be left with the expression,
[01:49:00.960 --> 01:49:05.960]  most simplified expression for the given Boolean expression.
[01:49:05.960 --> 01:49:06.960]  So in this way,
[01:49:06.960 --> 01:49:08.960]  by making the groups in this standoff map,
[01:49:08.960 --> 01:49:11.960]  we can minimize the Boolean function.
[01:49:11.960 --> 01:49:14.960]  So let us take another example.
[01:49:14.960 --> 01:49:19.960]  So let's say this f1 is the function of three variables.
[01:49:19.960 --> 01:49:20.960]  So first,
[01:49:20.960 --> 01:49:22.960]  let us consider this first group.
[01:49:22.960 --> 01:49:24.960]  Okay, so this is what we were talking about.
[01:49:24.960 --> 01:49:27.960]  If both.
[01:49:27.960 --> 01:49:29.960]  So this is the possibility.
[01:49:29.960 --> 01:49:30.960]  If we look at the,
[01:49:30.960 --> 01:49:33.960]  if we go by the definition that the pairing can be done
[01:49:33.960 --> 01:49:35.960]  between the adjacent cells,
[01:49:35.960 --> 01:49:39.960]  obviously 0, 0 and 0, 1 is adjacent.
[01:49:39.960 --> 01:49:42.960]  Or let's say 0 and 1 are adjacent.
[01:49:42.960 --> 01:49:44.960]  5 and 7 are adjacent.
[01:49:44.960 --> 01:49:46.960]  But 1 and 5 are also adjacent.
[01:49:46.960 --> 01:49:47.960]  But in this case,
[01:49:47.960 --> 01:49:49.960]  we will not make 1 and 5
[01:49:49.960 --> 01:49:51.960]  because all the ones are already occupied.
[01:49:51.960 --> 01:49:53.960]  And when all the ones are already occupied,
[01:49:53.960 --> 01:49:56.960]  then we don't make another group because that is unnecessarily.
[01:49:56.960 --> 01:50:00.960]  That will increase the logic gate rather than simplifying it.
[01:50:00.960 --> 01:50:02.960]  So in this group,
[01:50:02.960 --> 01:50:06.960]  the way and that is equal place the ones in each cell,
[01:50:06.960 --> 01:50:08.960]  which represents this main terms.
[01:50:08.960 --> 01:50:11.960]  That is 0 to you.
[01:50:11.960 --> 01:50:15.960]  Groups only we are able to cover all the ones in the map.
[01:50:15.960 --> 01:50:18.960]  So there is a no need to make this third group.
[01:50:18.960 --> 01:50:20.960]  That means during the minimization,
[01:50:20.960 --> 01:50:21.960]  try to.
[01:50:21.960 --> 01:50:24.960]  And now let us try to minimize it.
[01:50:24.960 --> 01:50:25.960]  Okay.
[01:50:25.960 --> 01:50:29.960]  Can you tell me what are the possibilities of pairing in this?
[01:50:29.960 --> 01:50:30.960]  What's the,
[01:50:30.960 --> 01:50:36.960]  what's the least number of pairing that we can do to cover all the ones?
[01:50:36.960 --> 01:50:39.960]  0, 1, 1, 3, 1, 5.
[01:50:39.960 --> 01:50:43.960]  0, 1, 1, 3 and 1, 5.
[01:50:43.960 --> 01:50:44.960]  Yeah, correct.
[01:50:44.960 --> 01:50:46.960]  So there are three pairs which can be made,
[01:50:46.960 --> 01:50:50.960]  which are 0, 1, 1, 3 and 1, 5 here.
[01:50:50.960 --> 01:50:52.960]  This is the first group of ones.
[01:50:52.960 --> 01:50:57.960]  Similarly, this group represents a value of a 0.
[01:50:57.960 --> 01:50:59.960]  The first of.
[01:50:59.960 --> 01:51:02.960]  Combine these two ones and this group.
[01:51:02.960 --> 01:51:03.960]  Okay.
[01:51:03.960 --> 01:51:07.960]  This is another example where we can do the grouping between the adjacent cells,
[01:51:07.960 --> 01:51:09.960]  where six and four,
[01:51:09.960 --> 01:51:11.960]  the ones are one six and four.
[01:51:11.960 --> 01:51:15.960]  So which means there are extreme ends of the came up diagram.
[01:51:15.960 --> 01:51:18.960]  So they can also be combined together to make a pair.
[01:51:19.960 --> 01:51:25.960]  Now here in this case, what is changing and what is staying intact?
[01:51:25.960 --> 01:51:27.960]  A is intact.
[01:51:27.960 --> 01:51:29.960]  A is intact.
[01:51:29.960 --> 01:51:33.960]  And C is intact and B is staying.
[01:51:33.960 --> 01:51:34.960]  Yeah, correct.
[01:51:34.960 --> 01:51:36.960]  So A is intact.
[01:51:36.960 --> 01:51:37.960]  So obviously in the,
[01:51:37.960 --> 01:51:39.960]  in the simplified Boolean expression,
[01:51:39.960 --> 01:51:41.960]  A will be there.
[01:51:41.960 --> 01:51:43.960]  And in the BC,
[01:51:43.960 --> 01:51:47.960]  what is intact and what is changing?
[01:51:47.960 --> 01:51:50.960]  In these two.
[01:51:50.960 --> 01:51:52.960]  Is B changing?
[01:51:52.960 --> 01:51:53.960]  Yes.
[01:51:53.960 --> 01:51:55.960]  And is C changing?
[01:51:55.960 --> 01:51:56.960]  No.
[01:51:56.960 --> 01:51:57.960]  No.
[01:51:57.960 --> 01:51:59.960]  So that means what will be the final Boolean expression?
[01:51:59.960 --> 01:52:02.960]  A.
[01:52:02.960 --> 01:52:04.960]  A.
[01:52:04.960 --> 01:52:06.960]  A plus C bar.
[01:52:06.960 --> 01:52:07.960]  A plus C bar.
[01:52:07.960 --> 01:52:08.960]  Yes.
[01:52:08.960 --> 01:52:09.960]  A dot C bar.
[01:52:09.960 --> 01:52:11.960]  Because in this group,
[01:52:11.960 --> 01:52:13.960]  the value of variable A is equal to 1.
[01:52:13.960 --> 01:52:15.960]  Let's consider this function.
[01:52:15.960 --> 01:52:17.960]  In this case first,
[01:52:17.960 --> 01:52:20.960]  let us map C in the minimized expression.
[01:52:20.960 --> 01:52:24.960]  What happens in the case of a pairing of four cells?
[01:52:24.960 --> 01:52:26.960]  Because this is in the power of two.
[01:52:26.960 --> 01:52:30.960]  And four adjacent ones have been made one group.
[01:52:30.960 --> 01:52:33.960]  So what will be the outcome of this?
[01:52:33.960 --> 01:52:35.960]  C.
[01:52:35.960 --> 01:52:36.960]  Is A changing?
[01:52:36.960 --> 01:52:37.960]  Yes.
[01:52:37.960 --> 01:52:38.960]  A is changing.
[01:52:38.960 --> 01:52:39.960]  Is B changing?
[01:52:39.960 --> 01:52:40.960]  Yes.
[01:52:40.960 --> 01:52:41.960]  B is changing.
[01:52:41.960 --> 01:52:42.960]  Is C changing now?
[01:52:42.960 --> 01:52:44.960]  So the only output in this case would be C.
[01:52:44.960 --> 01:52:47.960]  Of this function is also equal to C.
[01:52:47.960 --> 01:52:49.960]  So this is about K map.
[01:52:49.960 --> 01:52:53.960]  So essentially you can have two different kinds of questions.
[01:52:53.960 --> 01:52:55.960]  One is that the sigma values are given.
[01:52:55.960 --> 01:52:57.960]  When the sigma values given,
[01:52:57.960 --> 01:53:04.960]  then it's pretty straightforward that you have to put once into those cells whose value is corresponds to the given values in the sigma.
[01:53:04.960 --> 01:53:05.960]  Otherwise,
[01:53:05.960 --> 01:53:07.960]  I think you won't have question like sigma.
[01:53:07.960 --> 01:53:09.960]  They will actually give you the Boolean expression.
[01:53:09.960 --> 01:53:11.960]  So which means you will plot the K map.
[01:53:11.960 --> 01:53:17.960]  And then you will fill the cells according to the terms of the Boolean expression which are given to you.
[01:53:17.960 --> 01:53:23.960]  So you most likely you will have the question where you will have like this.
[01:53:23.960 --> 01:53:25.960]  You will be given the Boolean expression.
[01:53:25.960 --> 01:53:26.960]  And based on that,
[01:53:26.960 --> 01:53:32.960]  you will mark the once and then make the solution using the Boolean expression.
[01:53:32.960 --> 01:53:34.960]  Okay.
[01:53:34.960 --> 01:53:40.960]  Now do we have anyone in the class who still thinks it's not clear?
[01:53:40.960 --> 01:53:45.960]  It's a very simple way of simplifying.
[01:53:45.960 --> 01:53:50.960]  Probably I will add a few questions for you so that you can practice it on your own.
[01:53:50.960 --> 01:53:52.960]  And in case if you make a mistake,
[01:53:52.960 --> 01:53:56.960]  then you can get in touch with me or miss Martin and will be happy to help you.
[01:53:56.960 --> 01:53:58.960]  But it's pretty straightforward.
[01:53:58.960 --> 01:54:05.960]  So I would like you to solve both Boolean expressions using laws of Boolean algebra and also the K map.
[01:54:05.960 --> 01:54:06.960]  Okay.
[01:54:06.960 --> 01:54:09.960]  So for SL, that is all.
[01:54:09.960 --> 01:54:14.960]  I mean, SL students can leave now because we are now going to.
[01:54:14.960 --> 01:54:16.960]  Or are you tired?
[01:54:16.960 --> 01:54:19.960]  I mean, we can do the HL students.
[01:54:19.960 --> 01:54:30.960]  Let me know if you want to continue with the topics or we plan it sometime later.
[01:54:30.960 --> 01:54:32.960]  Put it in the chat.
[01:54:32.960 --> 01:54:35.960]  Let's just do it.
[01:54:35.960 --> 01:54:41.960]  Okay.
[01:54:41.960 --> 01:54:45.960]  Are you all fine doing it now?
[01:54:45.960 --> 01:54:51.960]  Maybe it's a little complicated to retain the full concentration throughout two hours.
[01:54:51.960 --> 01:54:55.960]  That's why my back cards a little.
[01:54:55.960 --> 01:54:58.960]  Because I haven't moved for two hours.
[01:54:58.960 --> 01:55:01.960]  That's why I'm asking that's why I'm asking.
[01:55:01.960 --> 01:55:04.960]  Even though next week we have the term break.
[01:55:04.960 --> 01:55:10.960]  Is it okay if we just do the online session next Saturday?
[01:55:10.960 --> 01:55:12.960]  Because you'll come with a fresh mind.
[01:55:12.960 --> 01:55:15.960]  You won't have any content to study.
[01:55:15.960 --> 01:55:19.960]  So we can plan it next weekend on the Saturday.
[01:55:19.960 --> 01:55:22.960]  And we will cover those four topics,
[01:55:22.960 --> 01:55:30.960]  which is about interrupt handling and polling control systems.
[01:55:30.960 --> 01:55:36.960]  Translators and resource management,
[01:55:36.960 --> 01:55:39.960]  which are important topics and it requires some concentration,
[01:55:39.960 --> 01:55:42.960]  some level of concentration concentration.
[01:55:42.960 --> 01:55:44.960]  So fine, fair enough.
[01:55:44.960 --> 01:55:48.960]  Even I'm tired of speaking for last two hours.
[01:55:48.960 --> 01:55:51.960]  I mean, I can go ahead if you want to.
[01:55:51.960 --> 01:55:54.960]  I can speak for next one hour easily.
[01:55:54.960 --> 01:55:59.960]  But then it's definitely it's about your.
[01:55:59.960 --> 01:56:02.960]  You know, grasping capability.
[01:56:02.960 --> 01:56:03.960]  If you can.
[01:56:03.960 --> 01:56:05.960]  If you can listen to me for three hours,
[01:56:05.960 --> 01:56:08.960]  I think that will be too much because even when I do the workshops,
[01:56:08.960 --> 01:56:09.960]  I be workshops.
[01:56:09.960 --> 01:56:13.960]  We keep participants of break off half an hour after every one and a half hours.
[01:56:13.960 --> 01:56:15.960]  Because.
[01:56:15.960 --> 01:56:18.960]  The attention span cannot go on for so long.
[01:56:18.960 --> 01:56:19.960]  So it's okay.
[01:56:19.960 --> 01:56:20.960]  I mean, fine.
[01:56:20.960 --> 01:56:21.960]  We will.
[01:56:21.960 --> 01:56:22.960]  Then so next week.
[01:56:22.960 --> 01:56:27.960]  SL will not have any class because the topics we are going to cover is only HL.
[01:56:27.960 --> 01:56:30.960]  So we will have a session next week Saturday.
[01:56:30.960 --> 01:56:32.960]  Okay.
[01:56:32.960 --> 01:56:33.960]  All right.
[01:56:33.960 --> 01:56:35.960]  Then continuing your.
[01:56:35.960 --> 01:56:36.960]  Yes.
[01:56:36.960 --> 01:56:39.960]  I don't think we took attendance here.
[01:56:39.960 --> 01:56:40.960]  Oh, yeah.
[01:56:40.960 --> 01:56:43.960]  Thanks for reminding once again.
[01:56:43.960 --> 01:56:47.960]  I'm a reminder of the child.
[01:56:47.960 --> 01:56:48.960]  I'll just share.
[01:56:48.960 --> 01:56:49.960]  I'll just share the tenants.
[01:56:49.960 --> 01:56:55.960]  I'm just sorry.
[01:56:55.960 --> 01:56:59.960]  Has anyone left to join before?
[01:56:59.960 --> 01:57:02.960]  Do you see anybody who left?
[01:57:02.960 --> 01:57:03.960]  Who?
[01:57:03.960 --> 01:57:04.960]  Two people left.
[01:57:04.960 --> 01:57:06.960]  But I don't know who.
[01:57:06.960 --> 01:57:08.960]  Oh.
[01:57:08.960 --> 01:57:11.960]  Does anyone remember who left?
[01:57:11.960 --> 01:57:16.960]  I think some of the SS students might have left.
[01:57:16.960 --> 01:57:18.960]  Okay.
[01:57:18.960 --> 01:57:20.960]  I think Jamie.
[01:57:20.960 --> 01:57:21.960]  Jamie.
[01:57:21.960 --> 01:57:22.960]  Bondy.
[01:57:22.960 --> 01:57:26.960]  I left because they didn't have battery in their device.
[01:57:26.960 --> 01:57:27.960]  Okay.
[01:57:27.960 --> 01:57:30.960]  So maybe we do one thing.
[01:57:30.960 --> 01:57:33.960]  Who was that Jamie?
[01:57:33.960 --> 01:57:36.960]  I will mark for Jamie then.
[01:57:36.960 --> 01:57:41.960]  Jamie is in SL.
[01:57:41.960 --> 01:57:42.960]  Okay.
[01:57:42.960 --> 01:57:43.960]  You mark your attendance.
[01:57:43.960 --> 01:57:49.960]  I will see what is to be done for SL.
[01:57:49.960 --> 01:57:59.960]  Are you able to mark your attendance?
[01:57:59.960 --> 01:58:05.960]  I'll show you the link.
[01:58:05.960 --> 01:58:06.960]  Where?
[01:58:06.960 --> 01:58:11.960]  Can you not see in the chat?
[01:58:11.960 --> 01:58:14.960]  Oh, I think it's just gone to me.
[01:58:14.960 --> 01:58:20.960]  Let me change it to all.
[01:58:20.960 --> 01:58:21.960]  Okay.
[01:58:21.960 --> 01:58:28.960]  Now I think you can see.
[01:58:28.960 --> 01:58:38.960]  Thanks Abdul for being there.
[01:58:38.960 --> 01:58:46.960]  I'll try and adding those sample IAs that I have from IBE into that same content folder.
[01:58:46.960 --> 01:58:48.960]  So that you can start looking at them.
[01:58:48.960 --> 01:58:51.960]  And during the holidays, if you can think about a possible topic,
[01:58:51.960 --> 01:58:54.960]  where you want to develop a software.
[01:58:54.960 --> 01:59:01.960]  I mean just just some just some.
[01:59:01.960 --> 01:59:05.960]  Wake idea about what are the areas you may like to explore.
[01:59:05.960 --> 01:59:07.960]  You don't have to be very specific right now.
[01:59:07.960 --> 01:59:19.960]  But just some vague ideas about what kind of project you would like to create.
[01:59:19.960 --> 01:59:22.960]  Can I create a Docker image?
[01:59:22.960 --> 01:59:23.960]  What start middle?
[01:59:23.960 --> 01:59:25.960]  I don't I I'm not getting it.
[01:59:25.960 --> 01:59:27.960]  What do you mean by image?
[01:59:27.960 --> 01:59:36.960]  So Docker is like a virtualization platform where you can run like a bunch of self-hosted apps like for image backup and stuff.
[01:59:36.960 --> 01:59:45.960]  And I want to make an app for Docker itself that like helping organize my file and such.
[01:59:45.960 --> 01:59:52.960]  I mean, I mean, see, a computer science IA is one where you you are able to show your algorithmic thinking skills.
[01:59:52.960 --> 01:59:57.960]  You have to basically demonstrate the knowledge of our programming language, right?
[01:59:57.960 --> 02:00:03.960]  So any any product that you're developing, you have to see that are you required to write the code for it?
[02:00:03.960 --> 02:00:06.960]  If the answer is yes, then you can do it.
[02:00:06.960 --> 02:00:07.960]  Okay.
[02:00:07.960 --> 02:00:08.960]  It would be a Python file.
[02:00:08.960 --> 02:00:09.960]  So that should be fine.
[02:00:09.960 --> 02:00:10.960]  That's fine.
[02:00:10.960 --> 02:00:11.960]  Absolutely.
[02:00:11.960 --> 02:00:12.960]  Yeah, that's perfectly fine.
[02:00:12.960 --> 02:00:13.960]  Yes.
[02:00:13.960 --> 02:00:16.960]  That's what when you will make your proposal, please.
