[12:04.000 --> 12:12.000]  After the week
[01:43:01.000 --> 01:43:08.000]  One will be yes and one will be no so every decision box will give you maximum two outputs.
[01:43:08.000 --> 01:43:14.000]  Let's say you are trying to find out if a number is positive or negative so you write is X greater than zero.
[01:43:14.000 --> 01:43:24.000]  If it's following the yes part you will say print or output positive in the no part you will say negative.
[01:43:24.000 --> 01:43:37.000]  And then this one is the input output so whenever you want to input something from the user or you want to display something on the screen right you use the input output box which is a parallelogram.
[01:43:37.000 --> 01:43:42.000]  So this symbol is used for input output operations.
[01:43:42.000 --> 01:43:52.000]  This is a connector so let's say your you are making a flow chart where as a result of for example let's say you created one flow chart for login screen.
[01:43:52.000 --> 01:44:00.000]  So you will say is the user authenticated yes you want to send the control to another module like dashboard go to the dashboard.
[01:44:00.000 --> 01:44:16.000]  So you will add this circle maybe you can write here a and on another page you can make the flow chart which starts with a symbol so it's kind of connector between two different flow charts which are on two different pages.
[01:44:16.000 --> 01:44:28.000]  So these are the ones which are basically useful four of them one is start and stop one is process box one is decision making and one is this one which is for input and output.
[01:44:28.000 --> 01:44:33.000]  Let's have a look at one example.
[01:44:33.000 --> 01:44:44.000]  This is a little complex one will come to this little later first let's have a look at the simple one so the flow chart simple algorithm of flow chart can also be used for visualizing algorithms regardless of its complexity.
[01:44:44.000 --> 01:44:55.000]  Here is an example that shows how flow charts can be used in showing a simple some some mission process the problem is find the sum of 529 and 256.
[01:44:55.000 --> 01:45:03.000]  So the problem is that there are two numbers right which will be entered by the user and then it will calculate the sum and printed.
[01:45:03.000 --> 01:45:14.000]  So as we said in the beginning we start with this start shape then input because we want to input a first number so we are using input output box.
[01:45:14.000 --> 01:45:25.000]  If you wanted to assign a value like a equals 10 then this would change into a rectangular box right but here we are using this shape because it's an input statement for input.
[01:45:25.000 --> 01:45:38.000]  We use this symbol so read a read B it can even be input a input B right it is even allowed to say read a comma B if you don't want to spend too much time making different boxes.
[01:45:38.000 --> 01:45:43.000]  You can say read a comma B within the same box that's that's allowed.
[01:45:43.000 --> 01:45:50.000]  So once the two numbers are entered one is an a one is in B now we want to calculate the sum so we are using a process box.
[01:45:50.000 --> 01:46:00.000]  Calculate sum as a plus B or you can say some equals a plus B any which ways it is fine right.
[01:46:00.000 --> 01:46:11.000]  Now this is wrong here print sum this is a mistake this should have been a parallelogram any kind of input or output is not a process.
[01:46:11.000 --> 01:46:25.000]  The process is this where you're doing some sort of calculations for printing and input you must use a box like this this one so this should have been that one so print sum and then end.
[01:46:25.000 --> 01:46:30.000]  Let's see done another one calculate profit and loss does the flow chart problem.
[01:46:30.000 --> 01:46:41.000]  Okay could somebody tell me what would be the next step the question is to calculate profit and loss so I will scroll slowly one box at a time what would you do next.
[01:46:41.000 --> 01:46:47.000]  Calculate profit and loss so we need inputs with the inputs.
[01:46:47.000 --> 01:47:02.000]  Okay so we need input of income right what's the next input loss loss but why would we say why would we input loss because loss is to be calculated.
[01:47:02.000 --> 01:47:10.000]  The question is shows how profit and loss can be calculated so we know the income.
[01:47:10.000 --> 01:47:27.000]  With the cost input what read the cost that's the second part so now we know the income and we know the cost this may lead to either profit or loss of what will be the next thing.
[01:47:27.000 --> 01:47:30.000]  Calculate the outcome.
[01:47:30.000 --> 01:47:35.000]  Okay so how will the system know how do you calculate the outcome.
[01:47:35.000 --> 01:47:46.000]  So computer will not think anything on its own you have to tell in bits and pieces that how will you get the outcome so how will you how will the system calculate the profit or loss.
[01:47:46.000 --> 01:47:48.000]  A1 is B.
[01:47:48.000 --> 01:47:55.000]  Okay now check if the cost is greater than the income.
[01:47:55.000 --> 01:48:04.000]  Now before that you said B minus C but here I don't see B and C so computer will be confused I don't know which B and C you are talking about.
[01:48:04.000 --> 01:48:09.000]  What are the variable names we are assuming here you be income minus cost.
[01:48:09.000 --> 01:48:18.000]  Income and cost because you have told computer that we are reading the income in income variable and read in cost variable so all calculations needs to be done on these two variables.
[01:48:18.000 --> 01:48:32.000]  If you end up taking some new variable the system won't know what those variables are so make sure that you use these two variables so next one is the decision making is income greater than or equal to cost.
[01:48:32.000 --> 01:48:45.000]  So we are making a decision so we are taking a decision box that is our income greater than or equal to cost when will it be profit and when will it be loss.
[01:48:45.000 --> 01:48:51.000]  Your income is greater than or equal to cost do you get profit or loss.
[01:48:51.000 --> 01:48:54.000]  Okay the profit.
[01:48:54.000 --> 01:49:06.000]  Okay so in that case calculate profit as income minus cost because your income is more than the cost so that means you are earning more than how much you are spending so you will have profits.
[01:49:06.000 --> 01:49:17.000]  So if it is falling the yes path we say calculate profit as income minus cost if it is not what can you conclude if it is no cost.
[01:49:17.000 --> 01:49:25.000]  What does it mean income so yes you may be you may be earning $100 but the cost you are spending is $120 so that means there's a loss.
[01:49:25.000 --> 01:49:46.000]  So in the know we are calculating calculate loss as cost minus income not this decision box will transfer the flow either to yes or no and a specific calculation will be done under no circumstances it will ever execute both these parts it will be that this or that right and then what's the next thing we will do.
[01:49:46.000 --> 01:50:14.000]  You output set calculate output the value of calculated yes so print loss or print profit if it is profit then printed again this box is wrong it should have been direct the parallelogram this is wrong so either print loss or print profit and then what should it do after printing loss or profit and it's process is done after this what should we do.
[01:50:14.000 --> 01:50:42.000]  So terminate yeah it should go both of them should go to stop so it goes to end so that completes the entire flow right so therefore you have to make sure that no matter which pathway it is choosing it must in the end go to the end otherwise if you leave something hanging that means the program is not able to proceed from there like for example after printing profit if you don't connect you to the end then where is the control going from the profit.
[01:50:42.000 --> 01:51:09.000]  Now if somebody looks at this flow chart they will get a very clear understanding of how the profit or loss is calculated and what all steps have been followed in order to do that right so therefore flow chart is nothing but it's a kind of pictorial representation of the flow of the program and it can go very complex for example here for example medical service this is a hospital flow chart example that shows how clinical cases shall be processed.
[01:51:09.000 --> 01:51:19.000]  This flow chart uses decision shapes intensively in representing alternative flows so it starts the patient arrives at the reception.
[01:51:19.000 --> 01:51:36.000]  The first thing you will do is you will register the patients is the patient registered because there may be two possibilities the patient is already registered or it's a new case if the patient is already registered then is the nurse available if yes then record the health condition.
[01:51:36.000 --> 01:51:48.000]  Patient is registered nurse is available record the health condition patient is registered but the nurse is not available wait for the available nurse and then keep on keep this under the loop.
[01:51:48.000 --> 01:52:01.000]  Wait for the nurse available nurse go back is the nurse available now no so keep waiting so this becomes a loop until the nurse available is available as soon as the nurse is available then they go to the next one record health conditions.
[01:52:02.000 --> 01:52:16.000]  But if the patient is not registered already then it goes to the no part where you registered the patient first and then go back to the previous step where it will follow that registered yes or it could have gone directly to available nurse.
[01:52:16.000 --> 01:52:28.000]  What do you want to send it back to registered patient because you already registered them so after registering patient you don't have to check is the patient registered you can directly connect it to the available nurse.
[01:52:28.000 --> 01:52:57.000]  But even if the flow is like this it won't be wrong it will just take some extra step for the CPU to process and then record health condition is the doctor available if it is no then keep it in the loop until the doctor comes if it is yes assigned patient to the doctor once it is assigned to the doctor need follow up yes or no so it may be one time visit if no follow up needed then need medication yes or no if it is yes give patient prescription patient leaves the hospital.
[01:52:57.000 --> 01:53:09.000]  Now if you follow this step by step process you will see that the patient once enters into the hospital goes out with some sort of prescription also a note whether he has to come back or she has to come back or not.
[01:53:09.000 --> 01:53:23.000]  So by doing this you actually make sure that your entire program is actually written in such a way that it follows all the steps in a systematic and organized way so that under no circumstances that the program should fail.
[01:53:23.000 --> 01:53:42.000]  And if somebody looks at this they can now code it if I give this to you you can now easily code patient arrives to input the name then check if the patient is already registered yes is the nurse available yes take the readings sent to doctor if not then keep on repeating that process right.
[01:53:42.000 --> 01:53:54.000]  So flowcharts really help you to make a step by step process in a pictorial representation which is very easy for somebody to understand rather than reading the program directly or sometimes even the serial code.
[01:53:54.000 --> 01:54:05.000]  So this can give you a real picture of how the program is flowing right now those who are new to flowcharts I would strongly recommend that you should.
[01:54:05.000 --> 01:54:27.000]  Practice some flowcharts in this document or we have provided a link somewhere this one so grief or grief this has some very good examples of flowcharts please go through them read about what flowcharts are why they are beneficial why they are used what are the different boxes which are used and then take up few examples which are given there.
[01:54:27.000 --> 01:54:37.000]  There are some examples given so please solve them this will be tested in your exam let me show you a sample how it will be tested.
[01:54:57.000 --> 01:55:16.000]  See here is the question so they have given a flowchart state one reason why a flowchart could be used to represent an algorithm now this is a question and this carries one mark what how would you answer this.
[01:55:16.000 --> 01:55:23.000]  State one reason why a flowchart could be used to represent an algorithm.
[01:55:23.000 --> 01:55:32.000]  Because it represents step by step process that is algorithm also you get nothing in this.
[01:55:32.000 --> 01:55:48.000]  Now try again something else which is unique for flowchart because if you just say that it shows step by step process you don't get any score because that is for algorithm as well what is flowchart how is flowchart different than that.
[01:55:48.000 --> 01:55:52.000]  It's also a visual representation of the algorithm.
[01:55:52.000 --> 01:56:02.000]  Yes the keyword is visual representation if that comes in your response then you become eligible to get this score right so you have to be very careful in your response selection.
[01:56:02.000 --> 01:56:16.000]  You should ask yourself that the response that you have thought about is uniquely identifying the characteristics of the term used in the question or it is generic if it is generic you don't get the score so if you bring visual representation then you get the mark.
[01:56:16.000 --> 01:56:24.000]  Because it gives a visual representation of the flow of control making it easier for anyone to understand that gets you the score.
[01:56:24.000 --> 01:56:32.000]  Okay now the that's one mark question but there is a question which is three marks where they have given an example of a flowchart starting from start.
[01:56:32.000 --> 01:56:45.000]  I equal to one I less than equal to and so there's a flow going from one part to another and then there is a trace table complete copy and complete the trace table formed by the processing of this flowchart.
[01:56:45.000 --> 01:56:58.000]  Where n equals three so they have given a value of n now what you need to do is you have to go from top to bottom as if you are the CPU and you are executing the instructions in a step by step way.
[01:56:58.000 --> 01:57:11.000]  So first thing you will do is I equal to one which is already given in the trace table with one as value of I the end they have given is three is this true or false I less than or equal to n.
[01:57:11.000 --> 01:57:24.000]  And it's three eyes one true it's true if it is true we follow this direction which is true output I now come back to this box what will you print.
[01:57:24.000 --> 01:57:26.000]  That's right.
[01:57:26.000 --> 01:57:28.000]  Sorry one.
[01:57:28.000 --> 01:57:41.000]  Output I so here in the box in the first row you will print one because the output is one then follow further so you have to go step by step don't think that you will run the whole thing and then you will come to trace table no.
[01:57:41.000 --> 01:57:46.000]  As soon as you find something just fill the trace table and proceed so after printing one.
[01:57:46.000 --> 01:57:50.000]  J equals I plus one what will be the value of J.
[01:57:50.000 --> 01:58:19.000]  So here you will write to the value of J you will write as two right and then is J lesser or equal to n true or false true true because n is three and J is two so this is true it will again follow true part output J so in the next row you will print the value of in fact that J should have come in the next row because we have already printed something so next row will be J.
[01:58:19.000 --> 01:58:30.000]  As two so you will print two so the next output will be two on your screen after that going here J equal to J plus one so J becomes three.
[01:58:30.000 --> 01:58:45.000]  J was two J becomes three you go back here is J lesser or equal to n is three lesser or equal to n yes so it outputs J so the next output will be in J column you will write three and output will also be three.
[01:58:45.000 --> 01:59:01.000]  That will be the third row after that J becomes four is J lesser or equal to three no so it follows the false part I becomes I plus one what was the last value of I.
[01:59:01.000 --> 01:59:11.000]  One one so now I becomes two so you will come to the fourth row and you will write I as four right with no sorry two.
[01:59:11.000 --> 01:59:26.000]  After taking I as two now you will check again is two lesser or equal to three yes so you will again follow true part output I so the next output in the fourth row will be two and then you will continue this to fill the trace table.
[01:59:26.000 --> 01:59:55.000]  So that means in four to five rows you will be able to see that how the program is flowing this is very good for understanding the flow of program as to how the program runs from one part of the program one part of the section to the other part it's a very good exercise and in the exam you will be given a question like this for three to four marks right so try and practice this kind of problems to be able to understand the logical flow of control from one part to the other.
[01:59:55.000 --> 02:00:08.000]  Okay so this is the kind of question which will come in the exam so that is about the flow chart so with this if we look at the subject guide we have pretty much covered.
[02:00:08.000 --> 02:00:18.000]  Right me Carol I believe has a question about the flow shots alright yeah yeah please go ahead.
[02:00:19.000 --> 02:00:28.000]  Please ask a question can you hear me yeah yeah sorry I didn't think it was on it's okay I figured it out thank you.
[02:00:28.000 --> 02:00:42.000]  Alright great fine and whenever you have any question just unmute yourself and because I when I go to other screen I'm not able to see you when I especially when I share the screen so just unmute yourself and feel free to ask.
[02:00:42.000 --> 02:01:10.000]  Okay so let's have a look at the subject guide all again so we have covered be 1.1.2 1.3 1.4 but covered in the sense that we have talked about it but you have to work now to practice some of the trace table problems and also draw some flow charts I think it's there as a part of the assignment in your canvas also so next week we will start programming right so before we do that.
[02:01:11.000 --> 02:01:39.000]  First of all it's a reminder that please work on your project proposal what project you are thinking about it would be good if you can have two ideas minimum so that we can have a look at both the ideas and we can suggest which one would be good from the highest point of view but that is not a mandatory requirement if you are very particular about developing something then you can just go with the one idea that you have we may either accept or give you feedback.
[02:01:39.000 --> 02:02:08.000]  For further improvements or reject one of the three things we will do if we reject then you will have to come up with another idea within 1 weeks of time from the rejection okay right so please make sure that Tuesday is the deadline for submission of project proposal keep your document ready because as soon as the submission link becomes available which is most likely on Monday then we will inform you and you will submit it directly to the canvas if not.
[02:02:09.000 --> 02:02:28.000]  Then as I said we will create a shade folder for you where you can upload your work that is one thing now second thing is how are you doing with regard to installation of Java and JDK could you type in the chat how many of you have successfully installed JDK and net beans and that it is working fine.
[02:02:30.000 --> 02:02:34.000]  So the chat is disabled.
[02:02:34.000 --> 02:02:46.000]  You know the chat is disabled chat is disabled how come now now try can you see now.
[02:02:50.000 --> 02:03:02.000]  I didn't even know that we can disable the chat I don't know how to but Martin do you know how to enable the chat and I'm looking to it let me see what's going on.
[02:03:05.000 --> 02:03:17.000]  Public okay I'm about to reset all the chats okay and see if that works yeah sure.
[02:03:19.000 --> 02:03:27.000]  All right everybody try now does it work does it work no it doesn't.
[02:03:27.000 --> 02:03:34.000]  That's a very strange.
[02:03:35.000 --> 02:03:42.000]  This channel is empty send a message to start this okay so I think we have to start the conversation hello everyone.
[02:03:42.000 --> 02:03:53.000]  There no no no that's that's weird no can you can you see my message at least.
[02:03:53.000 --> 02:04:00.000]  Yes and I replied to it I was able to reply to it but I don't know.
[02:04:00.000 --> 02:04:11.000]  We can send texts on private chat with teachers so we can do that if you prefer that option that's very weird because.
[02:04:12.000 --> 02:04:22.000]  I think we would need to refresh your right try now everybody you know it works okay great what was the what was the problem Martin.
[02:04:22.000 --> 02:04:37.000]  I don't know the the the fault was to chat privately privately right I don't know okay I just end it yeah okay so could you please type if you installed and if it's working or not installed.
[02:04:38.000 --> 02:04:50.000]  Apache netbeens does not load it's just crashes okay you do so that is because your JDK is not compatible with the version of netbeens that you have installed.
[02:04:51.000 --> 02:05:04.000]  So which means we have shared one okay let me share the screen again I will show you how you will know which version is compatible for what netbeens version.
[02:05:05.000 --> 02:05:14.000]  That you have to be very careful about that there must be a match in fact the document that we have kept on the content folder has a description but let me see here so.
[02:05:14.000 --> 02:05:30.000]  Apache netbeens and JDK compatibility okay here if you go to Apache netbeens.
[02:05:30.000 --> 02:05:52.000]  I don't know I've seen it somewhere let me let me show you the document which we have prepared in the contents folder so.
[02:05:52.000 --> 02:06:20.000]  If you look at by the way last time spoke about the isample so which is here you can find all the is here but what I'm looking at right now is Java installation that PDF in this I have mentioned what versions are compatible with what version of netbeens so it's not that any JDK can work for any netbeens.
[02:06:20.000 --> 02:06:49.000]  So you go to this website and this is this not here for example if you are installing netbeens 12 to 13 then JDK 11 or 17 will work so if you are planning to install netbeens 12 or 13 then make sure that you only install JDK 11 or 17 if you have installing 14 to 19 then JDK 17 would be helpful.
[02:06:50.000 --> 02:07:18.000]  Now if you installed 12 and 13 with JDK 7 JDK 21 it will not work that's a compatibility show okay so you have to make sure that you follow the correct way now if some JDK is already installed and you're trying to install another version that will again not work so in that case you have to run this these commands in order to clear all the JDKs that you have so you copy this go to the terminal window.
[02:07:21.000 --> 02:07:41.000]  And here you paste this and then run it I'm not going to run it otherwise it will delete my installation of Java so if you already have some version so you can at least check what version of Java you have so Java version this will show you.
[02:07:42.000 --> 02:07:51.000]  Sorry what's the command for displaying what Java Java yeah that's the same thing so you can copy this paste it here.
[02:07:58.000 --> 02:08:10.000]  Java hyphen Java hyphen version so it is showing me that on my computer Java 25 version is installed right so that means my netbeens will be compatible with that.
[02:08:11.000 --> 02:08:30.000]  Let me see which netbeens I have so my netbeens version is this one 25 ID 25 so my Java and my ID version are compatible so you have to make sure that your both the things are compatible all right.
[02:08:31.000 --> 02:08:44.000]  Okay, so let me have a look at the chat so I install netbeens number is it working for you back in front and like Java and have you checked any program yes I tested it.
[02:08:45.000 --> 02:08:58.000]  Okay Apache netbeens doesn't load it just crashes so usually to try that installed Michael yes I have Java install I had before didn't have issues okay JDK is down low.
[02:08:58.000 --> 02:09:10.000]  Yeah JDK you have to be you have to check that JDK should be compatible with the netbeens version that you're installing a both are compatible then only it will work.
[02:09:12.000 --> 02:09:22.000]  So usually that's why you look at this document which I showed you it is in the content folder and you write specifically downloading that JDK which I have mentioned there for each.
[02:09:22.000 --> 02:09:33.000]  So it will it will depend on what netbeens you are installing so take the latest one for both latest netbeens and see what JDK is compatible with done.
[02:09:34.000 --> 02:09:48.000]  Due to ID restrictions on my school PC I cannot download it I have an appointment with my them to fix it yeah you can meet your IT team or you tell them that you download the JDK and netbeens and share it with me.
[02:09:48.000 --> 02:09:59.000]  Okay Sarah has installed Bradley not yet I'm a this document is on SharePoint folder yeah it is on SharePoint folder under the content folder.
[02:10:00.000 --> 02:10:16.000]  You can download net okay so now Namo has shared this link I already had Java version 23 Java runtime fine now it's not needed.
[02:10:16.000 --> 02:10:25.000]  You just see that which netbeens Apache netbeens is compatible with this version of Java 23 and download that version of netbeens.
[02:10:26.000 --> 02:10:36.000]  We need both right yes so yeah we need both because JDK is the Java development kit which actually is a compiler which takes the program for your netbeens and it runs it.
[02:10:36.000 --> 02:10:48.000]  And netbeens is just a friend and it is a ID interactive development tool it doesn't have its own compiler so you write the programming netbeens and then it goes to the JDK for compilation.
[02:10:50.000 --> 02:11:05.000]  Okay so make sure that by the end of this week you must install Apache netbeens and JDK and should be working because next week we will start with the B 1.1 that is a programming and by that time you should have this.
[02:11:06.000 --> 02:11:21.000]  So running on your computer alright so that is all from our side for this lesson it's exactly to our since since we started so we rush I want to ask a question.
[02:11:22.000 --> 02:11:31.000]  I just want to know how many of you have been able to start practicing coding maybe using I don't know what you already have installed or anything online.
[02:11:36.000 --> 02:11:44.000]  I've been using the tutorial from the W3 school.
[02:11:45.000 --> 02:11:47.000]  Great yeah that's good.
[02:11:48.000 --> 02:12:01.000]  W3 school is good for starting the practice especially if you have never done coding and even Greek for Greeks those two are good websites where you have the step by step tutorials and so.
[02:12:02.000 --> 02:12:06.000]  So will Java be the only language we will learn?
[02:12:07.000 --> 02:12:16.000]  Yes Java is the only language that you will learn yes although I think I be offers Python and Java but we as a as a policy for Pamoja we are going with Java.
[02:12:20.000 --> 02:12:22.000]  Any other questions.
[02:12:22.000 --> 02:12:28.000]  All good.
[02:12:29.000 --> 02:12:51.000]  All right okay so I mean you have couple of things to do now because we are now stepping into programming part so please go through the flowcharts section and try to solve some flowcharts there a lot of tutorials available and guys as an online learning mode you really have to find your own ways to look for.
[02:12:52.000 --> 02:13:17.000]  Good resources so even if you just say that explain to me flowcharts on YouTube you will find a lot of tutorials so that's an additional responsibility for you or a requirement for you to be able to find some good resources and practice them right because if you get if you have never done programming then you really need to work little harder or little more than the others who have done it in the past.
[02:13:18.000 --> 02:13:27.000]  Right so in the beginning we'll talk about few basic stuff of the programming for a smooth start for everyone but eventually you will see that we will get into complexity very soon.
[02:13:28.000 --> 02:13:40.000]  So this is a very good time for you to actually start looking at the programming tutorials and start preparing yourself for the same so that you at least understand what's going on in the class and you don't struggle much on them.
[02:13:41.000 --> 02:14:06.000]  Right if you know any of the friends who are in roll into Pamoja and they are not attending please tell them that they are losing a lot of things if they are not attending right maybe they are not even aware that we are having these classes even though we send the notifications every week but probably they don't check so please remind them in case if they are mentioned these classes and they are from your school or you know them personally.
[02:14:07.000 --> 02:14:27.000]  Okay that is all from our side and good luck for this week please make sure that you submit the project proposals by the end of this week and next week we will look at it and we will respond to you individually about each of the project ideas and try to make it as informative as possible.
[02:14:27.000 --> 02:14:35.000]  We need to have good clarity. We don't want to make it back and forth that we have to ask you some questions about your project it should be self explanatory.
[02:14:38.000 --> 02:14:42.000]  All right then good night everyone and we'll see you next week.
[02:14:45.000 --> 02:14:46.000]  Bye bye.
[02:14:47.000 --> 02:14:49.000]  Thank you. Have a nice day.
[02:14:50.000 --> 02:14:51.000]  You too.
[02:14:52.000 --> 02:14:53.000]  Bye.
[02:14:54.000 --> 02:14:58.000]  Rash Sarah wants to stay for a little bit to ask a question.
[02:14:59.000 --> 02:15:00.000]  Yeah, yeah.
[02:15:00.000 --> 02:15:01.000]  Yeah, please stay back.
[02:15:11.000 --> 02:15:13.000]  Yes, Sarah go ahead.
[02:15:17.000 --> 02:15:18.000]  Can you hear me?
[02:15:18.000 --> 02:15:26.000]  I know there's some music in the back of it but my school wants me to do a mock exam for computer science.
[02:15:27.000 --> 02:15:44.000]  Have they reached out to you about it because it's supposed to be like a like basically a mock version of the final exams and they want a computer science paper for me to do in class in during that time.
[02:15:45.000 --> 02:15:52.000]  So see basically we don't do the some exams on the individual basis.
[02:15:53.000 --> 02:15:57.000]  You can mute yourself Sarah I'm on the city of question which is mute yourself. I'll answer it.
[02:15:58.000 --> 02:16:11.000]  Yeah, so we don't do the you know assessments on the school a specific basis we have our own calendar we have our own assessments planned in case if your school needs a score from us.
[02:16:11.000 --> 02:16:21.000]  We can provide them with the score on the basis of your achievements so far but there will be no separate assessments just because it is in the calendar of your school right.
[02:16:22.000 --> 02:16:26.000]  So you can let your SBC right to us and we will respond to them about this.
[02:16:28.000 --> 02:16:40.000]  Okay, you will not have a separate assessment then what other students are doing but if in case if they need a score for you, we can definitely come to a particular score and we can pass it on to them on the basis of your accomplishments so far.
[02:16:42.000 --> 02:16:44.000]  Any other question?
[02:16:44.000 --> 02:16:47.000]  Could I ask you a question?
[02:16:47.000 --> 02:16:49.000]  Your right, please.
[02:16:50.000 --> 02:16:59.000]  I'm like I was looking at my grades and then like I've noticed that like my grade for the first one hasn't changed.
[02:16:59.000 --> 02:17:06.000]  Although like I mean like my grade for the real long assessment we did take a little bit ago.
[02:17:06.000 --> 02:17:11.000]  Like a little bit why I go in the last unit, you know, as semester.
[02:17:11.000 --> 02:17:18.000]  And then like I knew that I found that like the my grade wasn't like that high.
[02:17:18.000 --> 02:17:28.000]  Just the comment saying that like all the questions were answered and I have previously asked you guys they asked whether they.
[02:17:28.000 --> 02:17:33.000]  If you okay guys they clarify on the okay I got you.
[02:17:33.000 --> 02:17:40.000]  I got you question so could you just drop a message about which assessment you are talking about so you can just mention the week number and the assignment number.
[02:17:40.000 --> 02:17:44.000]  We'll have a look at it again and if for your score higher than we'll change it in the great book.
[02:17:44.000 --> 02:17:45.000]  Just drop us a message.
[02:17:45.000 --> 02:17:49.000]  I just wanted to know like why like how I didn't answer your questions.
[02:17:49.000 --> 02:17:53.000]  Yeah, okay, so just just drop us a message so that we'll have a look at that.
[02:17:53.000 --> 02:17:55.000]  Okay, particular section.
[02:17:55.000 --> 02:17:56.000]  Okay.
[02:17:56.000 --> 02:18:01.000]  Yes, send us a send us an email knows here because then one email.
[02:18:01.000 --> 02:18:03.000]  Oh email.
[02:18:03.000 --> 02:18:06.000]  Canvas email.
[02:18:06.000 --> 02:18:08.000]  In canvas.
[02:18:08.000 --> 02:18:09.000]  Yes, not here.
[02:18:09.000 --> 02:18:11.000]  Yes, in canvas.
[02:18:11.000 --> 02:18:13.000]  Okay, thank you.
[02:18:13.000 --> 02:18:15.000]  Mark, you have a question.
[02:18:15.000 --> 02:18:20.000]  So I just wanted to ask you just to know.
[02:18:20.000 --> 02:18:24.000]  You can install the netbins and the JDK.
[02:18:24.000 --> 02:18:32.000]  But I noticed that netbins is seems similar to I don't know if you know the name visual studio code.
[02:18:32.000 --> 02:18:33.000]  Yeah, yeah, VS code.
[02:18:33.000 --> 02:18:34.000]  Correct.
[02:18:34.000 --> 02:18:35.000]  Yeah.
[02:18:35.000 --> 02:18:40.000]  And I was wondering because I used for a years a visual studio code.
[02:18:40.000 --> 02:18:42.000]  So I find myself pretty well.
[02:18:42.000 --> 02:18:43.000]  I mean, it's it's okay.
[02:18:43.000 --> 02:18:45.000]  You can use VS code for the coding.
[02:18:45.000 --> 02:18:49.000]  Only thing is when we'll start with the IAIDS.
[02:18:49.000 --> 02:18:51.000]  For instructions will be based on netbins.
[02:18:51.000 --> 02:18:54.000]  So as of now for the general programming.
[02:18:54.000 --> 02:18:55.000]  VS code is fine.
[02:18:55.000 --> 02:18:57.000]  There's no problem with that.
[02:18:57.000 --> 02:18:59.000]  But eventually you will have to step.
[02:18:59.000 --> 02:19:02.000]  You will have to switch to netbins.
[02:19:02.000 --> 02:19:03.000]  Okay.
[02:19:03.000 --> 02:19:06.000]  Yeah, thank you.
[02:19:06.000 --> 02:19:14.000]  Isan, you have any question.
[02:19:14.000 --> 02:19:16.000]  Okay, seems like he's honest, not sure.
[02:19:16.000 --> 02:19:17.000]  All right.
[02:19:17.000 --> 02:19:19.000]  So that's all.
[02:19:19.000 --> 02:19:20.000]  Same to you.
[02:19:20.000 --> 02:19:21.000]  Hey, Mark.
[02:19:21.000 --> 02:19:22.000]  You too.
[02:19:22.000 --> 02:19:23.000]  Bye.
[02:19:23.000 --> 02:19:24.000]  Okay.
[02:19:24.000 --> 02:19:25.000]  Bye, Martin.
[02:19:25.000 --> 02:19:28.000]  All right.
[02:19:28.000 --> 02:19:30.000]  I'll talk to you soon.
[02:19:30.000 --> 02:19:31.000]  Okay.
[02:19:31.000 --> 02:19:34.000]  Yeah, we'll speak on teams once we'll catch up with each other.
[02:19:34.000 --> 02:19:35.000]  All right.
[02:19:35.000 --> 02:19:36.000]  All right.
[02:19:36.000 --> 02:19:37.000]  Thank you.
[02:19:37.000 --> 02:19:38.000]  Bye.
[02:19:38.000 --> 02:19:39.000]  Same to you.
[02:19:39.000 --> 02:19:40.000]  Bye.
